Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection2000-0-20250706-19:09:14-579256,WarmupDetection2000,0,0.2372453546568,0.0005,20.200000000000003,6.07,24.988,1.62,N/A
WarmupDetection2000-1-20250706-19:09:14-579255,WarmupDetection2000,1,0.24835364201039997,0.0005,34.0,6.08,24.984,1.69,N/A
WarmupDetection2000-2-20250706-19:09:14-579260,WarmupDetection2000,2,0.3765235937616,0.0005,39.6,6.09,24.984,1.68,N/A
WarmupDetection2000-3-20250706-19:09:14-579257,WarmupDetection2000,3,0.26812389247679996,0.0005,45.900000000000006,6.06,24.990,1.65,N/A
WarmupDetection2000-4-20250706-19:09:14-579261,WarmupDetection2000,4,0.2006672855316,0.0005,28.900000000000002,6.08,24.991,1.69,N/A
WarmupDetection2000-5-20250706-19:09:14-579264,WarmupDetection2000,5,0.243713832198,0.0005,29.5,6.08,24.991,1.66,N/A
WarmupDetection2000-6-20250706-19:09:14-579265,WarmupDetection2000,6,0.31982076113999997,0.0005,32.7,6.08,24.984,1.70,N/A
WarmupDetection2000-7-20250706-19:09:14-579266,WarmupDetection2000,7,0.210189831102,0.0005,39.800000000000004,6.07,24.989,1.68,N/A
WarmupDetection2000-8-20250706-19:09:14-579278,WarmupDetection2000,8,0.1820984744124,0.0005,23.400000000000002,6.08,24.991,1.70,N/A
WarmupDetection2000-9-20250706-19:09:14-579283,WarmupDetection2000,9,0.2126557822092,0.0005,42.300000000000004,6.09,24.987,1.70,N/A
